model,params,C_flops,PC_flops,DC_flops,O_flops,layers,flops
resnet18,11678912,1794293760.0,19267584.0,0,512000.0,21,1814073344.0
resnet19,31208640,4774346752.0,19267584.0,0,512000.0,21,4794126336.0
resnet20,334256,1986969600.0,12845056.0,0,64000.0,22,1999878656.0
resnet34,21779648,3643981824.0,19267584.0,0,512000.0,37,3663761408.0
resnet35,59266240,9912369152.0,19267584.0,0,512000.0,37,9932148736.0
resnet50,25502912,1967702016.0,2119434240.0,0,2048000.0,54,4089184256.0
resnet101,44442816,3932995584.0,3866361856.0,0,2048000.0,105,7801405440.0
resnet152,60040384,5898289152.0,5613289472.0,0,2048000.0,156,11513626624.0
small2,42080,5892480.0,0,0,32000.0,3,5924480.0
small3,51296,10353024.0,0,0,32000.0,4,10385024.0
small4,60512,14039424.0,0,0,32000.0,5,14071424.0
small5,110944,20011392.0,0,0,64000.0,6,20075392.0
small6,147808,29448576.0,0,0,64000.0,7,29512576.0
small7,184672,65962368.0,0,0,64000.0,8,66026368.0
small8,221536,73187712.0,0,0,64000.0,9,73251712.0
small9,572096,215606016.0,0,0,128000.0,10,215734016.0
small10,719552,230351616.0,0,0,128000.0,11,230479616.0
vgg11,9729728,7485456384.0,0,0,512000.0,9,7485968384.0
vgg13,9914048,11184832512.0,0,0,512000.0,11,11185344512.0
vgg16,15222464,15346630656.0,0,0,512000.0,14,15347142656.0
vgg19,20530880,19508428800.0,0,0,512000.0,17,19508940800.0
vgg5,4421312,3323658240.0,0,0,512000.0,6,3324170240.0
vgg6,6780608,3786080256.0,0,0,512000.0,7,3786592256.0
vgg7,9139904,5635768320.0,0,0,512000.0,8,5636280320.0
vgg51,372656,223985664.0,0,0,128000.0,6,224113664.0
vgg61,520112,252887040.0,0,0,128000.0,7,253015040.0
vgg71,667568,368492544.0,0,0,128000.0,8,368620544.0
vgg52,1233760,852590592.0,0,0,256000.0,6,852846592.0
vgg62,1823584,968196096.0,0,0,256000.0,7,968452096.0
vgg72,2413408,1430618112.0,0,0,256000.0,8,1430874112.0
mobilenet_v2,3469760,10838016.0,267939840.0,20716416.0,1280000.0,53,300774272.0
googlenet1,6609344,1128207360.0,369144832.0,0,1024000.0,58,1498376192.0
resnet10,5412032,869449728.0,19267584.0,0,512000.0,13,889229312.0
resnet12,6591680,1100660736.0,19267584.0,0,512000.0,15,1120440320.0
resnet14,11310272,1331871744.0,19267584.0,0,512000.0,17,1351651328.0
resnet16,11605184,1563082752.0,19267584.0,0,512000.0,19,1582862336.0
resnet18,11678912,1794293760.0,19267584.0,0,512000.0,21,1814073344.0
resnet20,12858560,2025504768.0,19267584.0,0,512000.0,23,2045284352.0
resnet22,17577152,2256715776.0,19267584.0,0,512000.0,25,2276495360.0
resnet24,17872064,2487926784.0,19267584.0,0,512000.0,27,2507706368.0
resnet26,17945792,2719137792.0,19267584.0,0,512000.0,29,2738917376.0
resnet28,19125440,2950348800.0,19267584.0,0,512000.0,31,2970128384.0
resnet30,20305088,3181559808.0,19267584.0,0,512000.0,33,3201339392.0
resnet32,21484736,3412770816.0,19267584.0,0,512000.0,35,3432550400.0
resnet34,21779648,3643981824.0,19267584.0,0,512000.0,37,3663761408.0
smresnet10,436016,76468224.0,1204224.0,0,128000.0,13,77800448.0
smresnet12,509744,90918912.0,1204224.0,0,128000.0,15,92251136.0
smresnet14,804656,105369600.0,1204224.0,0,128000.0,17,106701824.0
smresnet16,823088,119820288.0,1204224.0,0,128000.0,19,121152512.0
smresnet18,827696,134270976.0,1204224.0,0,128000.0,21,135603200.0
smresnet20,901424,148721664.0,1204224.0,0,128000.0,23,150053888.0
smresnet22,1196336,163172352.0,1204224.0,0,128000.0,25,164504576.0
smresnet24,1214768,177623040.0,1204224.0,0,128000.0,27,178955264.0
smresnet26,1219376,192073728.0,1204224.0,0,128000.0,29,193405952.0
smresnet28,1293104,206524416.0,1204224.0,0,128000.0,31,207856640.0
smresnet30,1366832,220975104.0,1204224.0,0,128000.0,33,222307328.0
smresnet32,1440560,235425792.0,1204224.0,0,128000.0,35,236758016.0
smresnet34,1458992,249876480.0,1204224.0,0,128000.0,37,251208704.0
mdresnet10,1483360,246865920.0,4816896.0,0,256000.0,13,251938816.0
mdresnet12,1778272,304668672.0,4816896.0,0,256000.0,15,309741568.0
mdresnet14,2957920,362471424.0,4816896.0,0,256000.0,17,367544320.0
mdresnet16,3031648,420274176.0,4816896.0,0,256000.0,19,425347072.0
mdresnet18,3050080,478076928.0,4816896.0,0,256000.0,21,483149824.0
mdresnet20,3344992,535879680.0,4816896.0,0,256000.0,23,540952576.0
mdresnet22,4524640,593682432.0,4816896.0,0,256000.0,25,598755328.0
mdresnet24,4598368,651485184.0,4816896.0,0,256000.0,27,656558080.0
mdresnet26,4616800,709287936.0,4816896.0,0,256000.0,29,714360832.0
mdresnet28,4911712,767090688.0,4816896.0,0,256000.0,31,772163584.0
mdresnet30,5206624,824893440.0,4816896.0,0,256000.0,33,829966336.0
mdresnet32,5501536,882696192.0,4816896.0,0,256000.0,35,887769088.0
mdresnet34,5575264,940498944.0,4816896.0,0,256000.0,37,945571840.0
cifar10-resnet32,1855584,13453590528.0,51380224.0,0,1280.0,34,13504972032.0
efficientnet-b0,5236192,10838016.0,339164672.0,34532064.0,1280000.0,82,385814752.0
efficientnet-b1,7716976,10838016.0,506029568.0,51504096.0,1280000.0,116,569651680.0
efficientnet-b2,9026016,10838016.0,591396032.0,55321392.0,1408000.0,116,658963440.0
efficientnet-b3,12124856,13547520.0,875900480.0,71724240.0,1536000.0,131,962708240.0
efficientnet-b4,19186376,16257024.0,1383283552.0,102377856.0,1792000.0,161,1503710432.0
efficientnet-b5,30175728,16257024.0,2195083072.0,143105088.0,2048000.0,195,2356493184.0
efficientnet-b6,42762672,18966528.0,3151484256.0,187412064.0,2304000.0,225,3360166848.0
efficientnet-b7,65963040,21676032.0,4889609216.0,256019904.0,2560000.0,274,5169865152.0
